/nfs/homedirs/gmik/lrgwn/.venv/lib/python3.11/site-packages/torch_geometric/data/dataset.py:115: UserWarning: The `pre_transform` argument differs from the one used in the pre-processed version of this dataset. If you want to make use of another pre-processing technique, pass `force_reload=True` explicitly to reload the dataset.
  self._process()
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /nfs/homedirs/gmik/.netrc.
wandb: Currently logged in as: m-goloshchapov (m_goloshchapov) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run i5fz1nzb
wandb: Tracking run with wandb version 0.24.2
wandb: Run data is saved locally in /nfs/homedirs/gmik/lrgwn/wandb/run-20260305_142357-i5fz1nzb
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run daily-aardvark-10
wandb: ⭐️ View project at https://wandb.ai/m_goloshchapov/peptides-func
wandb: 🚀 View run at https://wandb.ai/m_goloshchapov/peptides-func/runs/i5fz1nzb
Epoch 76, train loss 0.0834, val loss 0.2679, val average_precision 0.6794
Epoch 77, train loss 0.0847, val loss 0.2668, val average_precision 0.6870
Epoch 78, train loss 0.0872, val loss 0.2721, val average_precision 0.6829
Epoch 79, train loss 0.0809, val loss 0.2670, val average_precision 0.6793
Epoch 80, train loss 0.0784, val loss 0.2663, val average_precision 0.6874
Epoch 81, train loss 0.0810, val loss 0.2722, val average_precision 0.6825
Epoch 82, train loss 0.0815, val loss 0.2685, val average_precision 0.6772
Epoch 83, train loss 0.0743, val loss 0.2783, val average_precision 0.6865
Epoch 84, train loss 0.0767, val loss 0.2824, val average_precision 0.6856
Epoch 85, train loss 0.0728, val loss 0.2829, val average_precision 0.6894
Epoch 86, train loss 0.0703, val loss 0.2904, val average_precision 0.6824
Epoch 87, train loss 0.0721, val loss 0.2863, val average_precision 0.6887
Epoch 88, train loss 0.0743, val loss 0.2821, val average_precision 0.6895
Epoch 89, train loss 0.0729, val loss 0.2899, val average_precision 0.6924
Epoch 90, train loss 0.0716, val loss 0.2906, val average_precision 0.6815
Epoch 91, train loss 0.0703, val loss 0.2896, val average_precision 0.6813
